TEIDESAT.Time,TEIDESAT.TTGregorian,TEIDESAT.Earth.Latitude,TEIDESAT.Earth.Longitude,TEIDESAT.Earth.Altitude,TEIDESAT.Propagator1_ForceModel.Acceleration,TEIDESAT.Propagator1_ForceModel.AccelerationX,TEIDESAT.Propagator1_ForceModel.AccelerationY,TEIDESAT.Propagator1_ForceModel.AccelerationZ
0.1,12 Sep 2024 12:00:37.184,-0.1362915667698977,-0.1732620789773009,300.2091131848092,0.008950451991126601,0.008848922978274512,-0.001344303890291984,1.434339291737806e-07
0.2,12 Sep 2024 12:01:37.184,3.32872505881707,1.568118488816974,300.3398090046658,0.008950189984682166,0.008873887867116109,-0.001034142519604169,-0.0005390400104827157
0.3,12 Sep 2024 12:03:32.979,9.999325319711467,4.981024322020272,300.9028207377978,0.008949209335917956,0.00880031972574748,-0.0004228246944093891,-0.001569694155081968
0.4,12 Sep 2024 12:05:33.039,16.861401042943,8.691540078216057,301.8819485813056,0.008947585912730377,0.008556411310916558,0.0002186140296976825,-0.002607551926641081
0.5,12 Sep 2024 12:07:33.898,23.66961750078265,12.7429149710108,303.1978477359344,0.008945446462917436,0.008143682362544306,0.0008595515520006096,-0.003600364027200613
0.6,12 Sep 2024 12:09:35.204,30.34666225878306,17.3037308373762,304.7436156860294,0.008942964053759614,0.00756943469792051,0.001485337702103318,-0.004524824453110203
0.7,12 Sep 2024 12:11:35.535,36.74089930432868,22.5424125194718,306.3711109479018,0.008940383503445535,0.006853171785538625,0.002076629153210795,-0.005352766109836428
0.8,12 Sep 2024 12:13:37.945,42.9027592357641,28.90820389632504,307.9796097468197,0.008937881175529934,0.005989598231717561,0.002636314893208285,-0.006087715229406384
0.9,12 Sep 2024 12:15:39.418,48.51587697130324,36.65674018896592,309.3860227261821,0.008935767137822926,0.005015420633628321,0.003139296438029538,-0.006696141283108239
1.0,12 Sep 2024 12:17:42.204,53.44040579271524,46.41530546097515,310.4818029328571,0.00893423731842664,0.003931783461557976,0.003584858461040587,-0.007177079147375494
1.1,12 Sep 2024 12:19:41.790,57.18578872394281,58.16484270610264,311.1274338639314,0.008933520528749213,0.002801308142090576,0.003949894536850873,-0.007507249488221122
1.2,12 Sep 2024 12:21:41.002,59.49955008279408,72.03283583432781,311.2819797456832,0.00893369467276796,0.001621826964084738,0.004239412101982146,-0.007694671067328196
1.3,12 Sep 2024 12:23:43.601,60.05245292819577,87.59683651174002,310.890297040246,0.008934866344045085,0.0003770666964298477,0.004454138008833526,-0.007736298332578545
1.4,12 Sep 2024 12:25:44.378,58.69146845796534,102.5504506354726,309.9574167846813,0.008936997951478939,-0.0008573262695286531,0.004579282763120404,-0.007626604318286299
1.5,12 Sep 2024 12:27:45.869,55.6402136788378,115.7686005442461,308.5113768923566,0.008940039070379347,-0.002083415713946408,0.004616088084627856,-0.007367184559772284
1.6,12 Sep 2024 12:28:09.753,54.87543378353557,118.0921585826808,308.1733979439286,0.008940730806091085,-0.002320576310856543,0.004612702960467474,-0.007298942685825953
1.7,12 Sep 2024 12:28:18.403,54.58679555290266,118.9108009480128,308.0470171089582,0.008940988226989558,-0.002406057708169753,0.004610614619972708,-0.00727285292070565
1.8,12 Sep 2024 12:28:26.408,54.31434301760359,119.6576758663808,307.9282200712378,0.008941229640003481,-0.002484964764411006,0.004608273359101258,-0.00724805865337127
1.9,12 Sep 2024 12:28:36.015,53.98081051675577,120.5403442352491,307.7833801338411,0.008941523282760259,-0.002579384769472407,0.004604945533771342,-0.007217484981498538
2.0,12 Sep 2024 12:29:12.166,52.66465350400861,123.730811974265,307.2169827407088,0.008942665055908371,-0.002931847769316496,0.00458736096604858,-0.007094479989885968
2.1,12 Sep 2024 12:30:54.307,48.49521611552554,131.6957508151607,305.4577561430588,0.008946161747321931,-0.003899010104258723,0.004494662029918691,-0.006680534668193989
2.2,12 Sep 2024 12:32:53.608,42.97750022664435,139.322814498467,303.1913309887277,0.008950595540264098,-0.004960725664191946,0.004307223823998802,-0.006078830836600083
2.3,12 Sep 2024 12:34:53.553,36.93900584117758,145.5967443613369,300.8191905801741,0.008955186355784142,-0.005934742381573708,0.004035849025579469,-0.005355942323616317
2.4,12 Sep 2024 12:36:52.683,30.60701875082287,150.823235177391,298.5211325335949,0.008959608433137974,-0.006790405864632701,0.003688754406224061,-0.004534099954707826
2.5,12 Sep 2024 12:38:52.332,24.01672490884025,155.3584049731843,296.4209896596276,0.008963645789325477,-0.007520533746544173,0.003268691935945801,-0.003619968374373666
2.6,12 Sep 2024 12:40:51.178,17.3148546605309,159.3748190580903,294.6767889770135,0.008967014983989044,-0.00810288073928701,0.002788318150196691,-0.002641204903308212
2.7,12 Sep 2024 12:42:52.268,10.38314603446726,163.1416595054733,293.3663968062656,0.00896958349592133,-0.008537487409392096,0.002243594504225169,-0.001590918139121673
2.8,12 Sep 2024 12:44:51.364,3.508065534904091,166.6658986861128,292.6196918606929,0.008971109391762072,-0.008799745940127191,0.001663881825677402,-0.0005260916064309764
2.9,12 Sep 2024 12:46:51.392,-3.439744630378041,170.1592037040386,292.4559345178532,0.008971558626702682,-0.008892779469250078,0.001047060023326778,0.0005576762602070803
3.0,12 Sep 2024 12:48:51.048,-10.34804909922449,173.6995264526469,292.8841455876354,0.008970906034695497,-0.00881248625426514,0.0004118068509876845,0.001627162013815365
3.1,12 Sep 2024 12:50:51.978,-17.27243167494497,177.460746961682,293.8777496967468,0.008969191944075956,-0.008557601521084132,-0.0002379962463171321,0.002675297763381588
